draw_date,n1,n2,n3,n4,n5,s1,s2,source_year,era,era_code,main_pool,star_pool,era_weight,main_numbers,star_numbers,zone_signature,star_zone_signature,sum,odd_count,even_count,low_count,high_count,ball_machine,ball_set,draw_order_1,draw_order_2,draw_order_3,draw_order_4,draw_order_5,star_order_1,star_order_2,source_url,metadata_status,fetched_at
2005-08-12,15,23,30,37,40,7,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 23, 30, 37, 40]","[7, 9]",0-1-2-2-0,0-1-1,145,3,2,2,3,,,,,,,,,,,,
2005-08-19,11,24,29,31,41,1,3,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[11, 24, 29, 31, 41]","[1, 3]",0-1-2-1-1,2-0-0,136,4,1,2,3,,,,,,,,,,,,
2005-08-26,9,29,35,40,41,1,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[9, 29, 35, 40, 41]","[1, 6]",1-0-1-2-1,1-1-0,154,4,1,1,4,,,,,,,,,,,,
2005-09-02,3,4,14,43,50,3,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 4, 14, 43, 50]","[3, 6]",2-1-0-0-2,1-1-0,114,2,3,3,2,,,,,,,,,,,,
2005-09-09,8,12,19,31,50,6,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[8, 12, 19, 31, 50]","[6, 7]",1-2-0-1-1,0-2-0,120,2,3,3,2,,,,,,,,,,,,
2005-09-16,12,13,19,21,38,3,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[12, 13, 19, 21, 38]","[3, 9]",0-3-1-1-0,1-0-1,103,3,2,4,1,,,,,,,,,,,,
2005-09-23,1,26,31,34,47,4,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 26, 31, 34, 47]","[4, 9]",1-0-1-2-1,1-0-1,139,3,2,1,4,,,,,,,,,,,,
2005-09-30,6,11,47,48,50,1,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 11, 47, 48, 50]","[1, 6]",1-1-0-0-3,1-1-0,162,2,3,2,3,,,,,,,,,,,,
2005-10-07,2,13,21,26,44,3,9,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 13, 21, 26, 44]","[3, 9]",1-1-2-0-1,1-0-1,106,2,3,3,2,,,,,,,,,,,,
2005-10-14,10,11,19,20,23,1,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[10, 11, 19, 20, 23]","[1, 6]",1-3-1-0-0,1-1-0,83,3,2,5,0,,,,,,,,,,,,
2005-10-21,1,14,19,29,33,1,8,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 14, 19, 29, 33]","[1, 8]",1-2-1-1-0,1-1-0,96,4,1,3,2,,,,,,,,,,,,
2005-10-28,14,36,44,47,50,3,5,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[14, 36, 44, 47, 50]","[3, 5]",0-1-0-1-3,1-1-0,191,1,4,1,4,,,,,,,,,,,,
2005-11-04,26,36,37,38,42,2,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[26, 36, 37, 38, 42]","[2, 6]",0-0-1-3-1,1-1-0,179,1,4,0,5,,,,,,,,,,,,
2005-11-11,15,16,36,41,42,3,5,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 16, 36, 41, 42]","[3, 5]",0-2-0-1-2,1-1-0,150,2,3,2,3,,,,,,,,,,,,
2005-11-18,17,18,25,34,48,2,3,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[17, 18, 25, 34, 48]","[2, 3]",0-2-1-1-1,2-0-0,142,2,3,3,2,,,,,,,,,,,,
2005-11-25,1,6,27,39,47,1,6,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 6, 27, 39, 47]","[1, 6]",2-0-1-1-1,1-1-0,120,4,1,2,3,,,,,,,,,,,,
2005-12-02,1,9,20,23,30,4,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 9, 20, 23, 30]","[4, 7]",2-1-2-0-0,1-1-0,83,3,2,4,1,,,,,,,,,,,,
2005-12-09,11,18,35,38,42,1,5,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[11, 18, 35, 38, 42]","[1, 5]",0-2-0-2-1,1-1-0,144,2,3,2,3,,,,,,,,,,,,
2005-12-16,2,3,15,18,32,6,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 3, 15, 18, 32]","[6, 7]",2-2-0-1-0,0-2-0,70,2,3,4,1,,,,,,,,,,,,
2005-12-23,15,31,36,37,42,1,7,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 31, 36, 37, 42]","[1, 7]",0-1-0-3-1,1-1-0,161,3,2,1,4,,,,,,,,,,,,
2005-12-30,8,16,19,43,45,1,4,2005,Era 1: 2004-2011,era_1,50,9,0.25,"[8, 16, 19, 43, 45]","[1, 4]",1-2-0-0-2,2-0-0,131,3,2,3,2,,,,,,,,,,,,
2006-01-06,2,6,9,14,26,4,5,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 6, 9, 14, 26]","[4, 5]",3-1-1-0-0,1-1-0,57,1,4,4,1,,,,,,,,,,,,
2006-01-13,8,12,19,33,34,1,6,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[8, 12, 19, 33, 34]","[1, 6]",1-2-0-2-0,1-1-0,106,2,3,3,2,,,,,,,,,,,,
2006-01-20,12,15,33,44,50,2,6,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[12, 15, 33, 44, 50]","[2, 6]",0-2-0-1-2,1-1-0,154,2,3,2,3,,,,,,,,,,,,
2006-01-27,9,15,21,40,49,1,4,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[9, 15, 21, 40, 49]","[1, 4]",1-1-1-1-1,2-0-0,134,4,1,3,2,,,,,,,,,,,,
2006-02-03,9,21,30,39,50,1,3,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[9, 21, 30, 39, 50]","[1, 3]",1-0-2-1-1,2-0-0,149,3,2,2,3,,,,,,,,,,,,
2006-02-10,5,6,38,48,50,6,7,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[5, 6, 38, 48, 50]","[6, 7]",2-0-0-1-2,0-2-0,147,1,4,2,3,,,,,,,,,,,,
2006-02-17,4,23,24,26,38,2,4,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 23, 24, 26, 38]","[2, 4]",1-0-3-1-0,2-0-0,115,1,4,3,2,,,,,,,,,,,,
2006-02-24,1,11,18,19,47,3,7,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 11, 18, 19, 47]","[3, 7]",1-3-0-0-1,1-1-0,96,4,1,4,1,,,,,,,,,,,,
2006-03-03,3,5,8,10,44,3,5,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 5, 8, 10, 44]","[3, 5]",4-0-0-0-1,1-1-0,70,2,3,4,1,,,,,,,,,,,,
2006-03-10,1,21,33,45,49,4,8,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 21, 33, 45, 49]","[4, 8]",1-0-1-1-2,1-1-0,149,5,0,2,3,,,,,,,,,,,,
2006-03-17,5,32,44,45,50,1,7,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[5, 32, 44, 45, 50]","[1, 7]",1-0-0-1-3,1-1-0,176,2,3,1,4,,,,,,,,,,,,
2006-03-24,17,28,33,35,47,4,9,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[17, 28, 33, 35, 47]","[4, 9]",0-1-1-2-1,1-0-1,160,4,1,1,4,,,,,,,,,,,,
2006-03-31,3,20,31,45,50,6,7,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 20, 31, 45, 50]","[6, 7]",1-1-0-1-2,0-2-0,149,3,2,2,3,,,,,,,,,,,,
2006-04-07,12,13,29,44,50,4,5,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[12, 13, 29, 44, 50]","[4, 5]",0-2-1-0-2,1-1-0,148,2,3,2,3,,,,,,,,,,,,
2006-04-14,16,26,34,35,49,2,6,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[16, 26, 34, 35, 49]","[2, 6]",0-1-1-2-1,1-1-0,160,2,3,1,4,,,,,,,,,,,,
2006-04-21,1,20,22,37,46,1,9,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 20, 22, 37, 46]","[1, 9]",1-1-1-1-1,1-0-1,126,2,3,3,2,,,,,,,,,,,,
2006-04-28,5,10,17,22,33,5,7,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[5, 10, 17, 22, 33]","[5, 7]",2-1-1-1-0,0-2-0,87,3,2,4,1,,,,,,,,,,,,
2006-05-05,4,8,14,16,50,3,9,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 8, 14, 16, 50]","[3, 9]",2-2-0-0-1,1-0-1,92,0,5,4,1,,,,,,,,,,,,
2006-05-12,5,20,23,34,50,1,5,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[5, 20, 23, 34, 50]","[1, 5]",1-1-1-1-1,1-1-0,132,2,3,3,2,,,,,,,,,,,,
2006-05-19,3,5,25,34,49,5,8,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 5, 25, 34, 49]","[5, 8]",2-0-1-1-1,0-2-0,116,4,1,3,2,,,,,,,,,,,,
2006-05-26,2,12,21,41,49,3,7,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 12, 21, 41, 49]","[3, 7]",1-1-1-0-2,1-1-0,125,3,2,3,2,,,,,,,,,,,,
2006-06-02,7,8,27,41,48,1,6,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[7, 8, 27, 41, 48]","[1, 6]",2-0-1-0-2,1-1-0,131,3,2,2,3,,,,,,,,,,,,
2006-06-09,3,12,15,34,39,4,6,2006,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 12, 15, 34, 39]","[4, 6]",1-2-0-2-0,1-1-0,103,3,2,3,2,,,,,,,,,,,,
