window,draw_date,strategy,sample_size,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
Last 60 draws,2026-02-17,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-02-17,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-02-17,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-17,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-17,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-02-20,Era 3 diversified random,1200,2,1,True,False,True
Last 60 draws,2026-02-20,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-02-20,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-20,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-20,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-02-24,Era 3 diversified random,1200,1,2,False,False,False
Last 60 draws,2026-02-24,Pat-alyzer v2 scored,1200,0,2,False,False,False
Last 60 draws,2026-02-24,Hybrid-zone only,1200,0,2,False,False,False
Last 60 draws,2026-02-24,Most-common-zone only,1200,0,1,False,False,False
Last 60 draws,2026-02-24,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-02-27,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-02-27,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-02-27,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-27,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-02-27,Pure random,1200,1,2,False,False,False
Last 60 draws,2026-03-03,Era 3 diversified random,1200,1,2,False,False,False
Last 60 draws,2026-03-03,Pat-alyzer v2 scored,1200,0,1,False,False,False
Last 60 draws,2026-03-03,Hybrid-zone only,1200,0,1,False,False,False
Last 60 draws,2026-03-03,Most-common-zone only,1200,0,1,False,False,False
Last 60 draws,2026-03-03,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-03-06,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-03-06,Pat-alyzer v2 scored,1200,1,2,False,False,False
Last 60 draws,2026-03-06,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-06,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-06,Pure random,1200,2,2,True,False,True
Last 60 draws,2026-03-10,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-03-10,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-03-10,Hybrid-zone only,1200,2,2,True,False,True
Last 60 draws,2026-03-10,Most-common-zone only,1200,2,1,True,False,True
Last 60 draws,2026-03-10,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-03-13,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-03-13,Pat-alyzer v2 scored,1200,2,1,True,False,True
Last 60 draws,2026-03-13,Hybrid-zone only,1200,2,1,True,False,True
Last 60 draws,2026-03-13,Most-common-zone only,1200,2,0,True,False,False
Last 60 draws,2026-03-13,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-03-17,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-03-17,Pat-alyzer v2 scored,1200,1,2,False,False,False
Last 60 draws,2026-03-17,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-17,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-17,Pure random,1200,2,1,True,False,True
Last 60 draws,2026-03-20,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-03-20,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-03-20,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-20,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-20,Pure random,1200,2,1,True,False,True
Last 60 draws,2026-03-24,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-03-24,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-03-24,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-24,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-24,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-03-27,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-03-27,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-03-27,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-27,Most-common-zone only,1200,0,1,False,False,False
Last 60 draws,2026-03-27,Pure random,1200,1,2,False,False,False
Last 60 draws,2026-03-31,Era 3 diversified random,1200,2,1,True,False,True
Last 60 draws,2026-03-31,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-03-31,Hybrid-zone only,1200,2,1,True,False,True
Last 60 draws,2026-03-31,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-03-31,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-04-03,Era 3 diversified random,1200,1,2,False,False,False
Last 60 draws,2026-04-03,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-04-03,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-03,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-03,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-04-07,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-04-07,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-04-07,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-07,Most-common-zone only,1200,2,1,True,False,True
Last 60 draws,2026-04-07,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-04-10,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-04-10,Pat-alyzer v2 scored,1200,0,2,False,False,False
Last 60 draws,2026-04-10,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-10,Most-common-zone only,1200,0,1,False,False,False
Last 60 draws,2026-04-10,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-04-14,Era 3 diversified random,1200,2,2,True,False,True
Last 60 draws,2026-04-14,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-04-14,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-14,Most-common-zone only,1200,1,2,False,False,False
Last 60 draws,2026-04-14,Pure random,1200,1,0,False,False,False
Last 60 draws,2026-04-17,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-04-17,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-04-17,Hybrid-zone only,1200,2,1,True,False,True
Last 60 draws,2026-04-17,Most-common-zone only,1200,2,1,True,False,True
Last 60 draws,2026-04-17,Pure random,1200,2,1,True,False,True
Last 60 draws,2026-04-21,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-04-21,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-04-21,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-21,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-21,Pure random,1200,2,1,True,False,True
Last 60 draws,2026-04-24,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-04-24,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-04-24,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-24,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-24,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-04-28,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-04-28,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-04-28,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-28,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-04-28,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-05-01,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2026-05-01,Pat-alyzer v2 scored,1200,2,2,True,False,False
Last 60 draws,2026-05-01,Hybrid-zone only,1200,1,1,False,False,False
