draw_date,strategy,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
2026-06-23,Pure random,2,2,True,False,False
2026-06-26,Era 3 diversified random,2,1,True,False,True
2026-06-26,Pat-alyzer v2 scored,0,1,False,False,False
2026-06-26,Hybrid-zone only,0,2,False,False,False
2026-06-26,Most-common-zone only,0,1,False,False,False
2026-06-26,Pure random,0,1,False,False,False
2026-06-30,Era 3 diversified random,3,1,True,True,True
2026-06-30,Pat-alyzer v2 scored,2,1,True,False,True
2026-06-30,Hybrid-zone only,2,1,True,False,True
2026-06-30,Most-common-zone only,2,1,True,False,True
2026-06-30,Pure random,2,1,True,False,False
