Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2026-03-03;777141;6665605,00;0;0,00;1;147207,10;1;41285,60;5;1397,70;65;129,40;220;48,30;173;50,40;3229;10,60;3626;11,30;7621;10,60;17232;4,90;57360;5,10;120418;4,10
2026-02-27;961834;8478275,00;0;0,00;2;75686,50;5;7988,60;10;1014,90;172;88,20;287;55,40;395;29,10;3554;14,50;5165;10,70;12949;8,40;17668;7,10;67908;5,60;165898;3,80
2026-02-24;732754;6123192,50;0;0,00;0;199961,60;0;31156,20;6;1455,60;55;138,90;161;64,20;235;45,70;2260;15,70;2912;13,30;7243;10,70;12502;7,30;44561;6,20;103858;4,30
2026-02-20;1066387;9520327,50;0;0,00;0;161198,00;1;26372,20;5;1244,50;116;107,10;349;42,00;238;39,00;4933;10,60;6056;9,90;12750;8,90;24496;5,40;84375;5,00;178550;3,90
2026-02-17;500599;3483517,50;0;0,00;0;109156,50;0;31889,60;0;1324,30;42;110,20;80;71,10;113;32,80;1130;17,70;1977;11,30;4741;8,30;5796;8,30;26965;5,70;64778;3,80
2026-02-13;781535;5928755,00;0;0,00;0;263509,10;2;26394,10;3;1046,30;79;126,60;219;49,60;156;44,40;2875;11,80;3574;11,00;7456;9,70;14619;5,70;51336;5,30;107032;4,00
2026-02-10;471751;3211765,00;0;0,00;0;0,00;0;102136,10;3;927,10;45;120,80;125;43,10;114;43,20;1807;10,30;2017;10,70;4916;9,00;9094;4,80;27827;5,20;63241;3,90
2026-02-06;613114;4473385,00;0;0,00;0;126931,60;1;10595,00;2;1248,60;54;86,40;118;55,40;203;23,70;1583;14,00;2953;9,20;7515;6,50;8028;7,20;39154;5,00;99588;3,20
2026-02-03;440955;2949692,50;0;0,00;0;471469,20;1;15741,40;1;1906,70;26;162,90;98;58,00;65;53,50;1749;11,90;1437;13,80;3172;11,60;9466;5,30;23784;5,90;50628;4,30
2026-01-30;735675;5989060,00;1;123555827,00;0;289086,80;1;28956,10;2;1262,60;53;136,10;126;64,90;163;46,10;2216;15,10;2848;12,50;6475;10,60;12135;6,90;43483;5,90;98889;4,30
2026-01-27;551077;4207527,50;0;0,00;0;0,00;0;95070,10;1;1869,90;55;144,00;152;53,30;77;56,20;2312;11,50;2211;12,70;4361;11,20;11619;5,40;36616;5,50;70064;4,40
2026-01-23;858096;6954295,00;0;0,00;0;398883,80;1;31075,20;4;967,90;89;103,40;223;49,00;312;31,30;2969;13,00;4577;9,40;11443;7,60;15201;6,60;63520;4,80;141189;3,50
2026-01-20;493714;3516642,50;0;0,00;0;295401,40;0;46026,70;1;1075,20;47;128,80;88;59,50;72;40,00;1413;15,00;1895;11,30;4656;8,50;6738;7,70;28436;5,60;71037;3,50
2026-01-16;634413;4785037,50;0;0,00;0;265077,70;1;11616,10;3;1113,20;73;103,70;138;52,60;155;35,00;1948;13,20;3012;10,10;6939;8,40;9539;6,70;42155;5,10;96619;3,70
2026-01-13;476849;3328025,00;0;0,00;0;187049,90;0;21858,30;0;1856,80;47;131,30;75;61,50;82;41,40;1349;14,30;1742;12,10;4121;9,80;6856;7,00;26346;5,70;59958;3,90
2026-01-09;597056;4418497,50;0;0,00;0;116285,00;0;18118,40;1;1128,60;69;100,80;129;50,80;139;33,20;1892;13,00;2896;9,60;6316;8,10;9894;6,50;40424;5,00;84808;3,70
2026-01-06;453699;3085312,50;0;0,00;0;0,00;0;204841,20;2;1648,20;42;123,60;70;70,10;118;29,30;997;18,20;1625;12,10;4737;7,20;4946;9,10;22693;6,20;67254;3,20
2026-01-02;565588;4114442,50;0;0,00;0;181127,30;0;18814,40;3;1425,40;25;156,90;106;76,40;111;46,10;1363;18,00;1902;13,70;5134;9,70;7070;8,40;28544;6,50;78153;3,90
