draw_date,ball_machine,ball_set,draw_order_1,draw_order_2,draw_order_3,draw_order_4,draw_order_5,star_order_1,star_order_2,source_url,metadata_status,fetched_at
2024-07-19,,,19,,,,,,,https://www.lottery.co.uk/euromillions/results-19-07-2024,parsed_no_machine_fields,2026-06-04T15:11:11.215811+00:00
2024-07-23,,,23,,,,,,,https://www.lottery.co.uk/euromillions/results-23-07-2024,parsed_no_machine_fields,2026-06-04T15:11:11.836594+00:00
2024-07-26,,,26,,,,,,,https://www.lottery.co.uk/euromillions/results-26-07-2024,parsed_no_machine_fields,2026-06-04T15:11:12.377965+00:00
2024-07-30,,,30,,,,,,,https://www.lottery.co.uk/euromillions/results-30-07-2024,parsed_no_machine_fields,2026-06-04T15:11:12.984470+00:00
2024-08-02,,,2,,,,,,,https://www.lottery.co.uk/euromillions/results-02-08-2024,parsed_no_machine_fields,2026-06-04T15:11:13.492108+00:00
2024-08-06,,,6,,,,,,,https://www.lottery.co.uk/euromillions/results-06-08-2024,parsed_no_machine_fields,2026-06-04T15:11:14.048984+00:00
2024-08-09,,,9,,,,,,,https://www.lottery.co.uk/euromillions/results-09-08-2024,parsed_no_machine_fields,2026-06-04T15:11:14.541164+00:00
2024-08-13,,,13,,,,,,,https://www.lottery.co.uk/euromillions/results-13-08-2024,parsed_no_machine_fields,2026-06-04T15:11:15.046508+00:00
2024-08-16,,,16,,,,,,,https://www.lottery.co.uk/euromillions/results-16-08-2024,parsed_no_machine_fields,2026-06-04T15:11:15.793979+00:00
2024-08-20,,,20,,,,,,,https://www.lottery.co.uk/euromillions/results-20-08-2024,parsed_no_machine_fields,2026-06-04T15:11:16.727604+00:00
2024-08-23,,,23,,,,,,,https://www.lottery.co.uk/euromillions/results-23-08-2024,parsed_no_machine_fields,2026-06-04T15:11:17.454795+00:00
2024-08-27,,,27,,,,,,,https://www.lottery.co.uk/euromillions/results-27-08-2024,parsed_no_machine_fields,2026-06-04T15:11:18.100464+00:00
2024-08-30,,,30,,,,,,,https://www.lottery.co.uk/euromillions/results-30-08-2024,parsed_no_machine_fields,2026-06-04T15:11:18.908643+00:00
2024-09-03,,,3,,,,,,,https://www.lottery.co.uk/euromillions/results-03-09-2024,parsed_no_machine_fields,2026-06-04T15:11:19.566845+00:00
2024-09-06,,,6,,,,,,,https://www.lottery.co.uk/euromillions/results-06-09-2024,parsed_no_machine_fields,2026-06-04T15:11:20.317174+00:00
2024-09-10,,,10,,,,,,,https://www.lottery.co.uk/euromillions/results-10-09-2024,parsed_no_machine_fields,2026-06-04T15:11:20.811236+00:00
2024-09-13,,,13,,,,,,,https://www.lottery.co.uk/euromillions/results-13-09-2024,parsed_no_machine_fields,2026-06-04T15:11:21.372729+00:00
2024-09-17,,,17,,,,,,,https://www.lottery.co.uk/euromillions/results-17-09-2024,parsed_no_machine_fields,2026-06-04T15:11:22.084088+00:00
2024-09-20,,,20,,,,,,,https://www.lottery.co.uk/euromillions/results-20-09-2024,parsed_no_machine_fields,2026-06-04T15:11:22.768718+00:00
2024-09-24,,,24,,,,,,,https://www.lottery.co.uk/euromillions/results-24-09-2024,parsed_no_machine_fields,2026-06-04T15:11:23.722565+00:00
2024-09-27,,,27,,,,,,,https://www.lottery.co.uk/euromillions/results-27-09-2024,parsed_no_machine_fields,2026-06-04T15:11:24.551676+00:00
2024-10-01,,,1,,,,,,,https://www.lottery.co.uk/euromillions/results-01-10-2024,parsed_no_machine_fields,2026-06-04T15:11:25.360665+00:00
2024-10-04,,,4,,,,,,,https://www.lottery.co.uk/euromillions/results-04-10-2024,parsed_no_machine_fields,2026-06-04T15:11:25.909789+00:00
2024-10-08,,,8,,,,,,,https://www.lottery.co.uk/euromillions/results-08-10-2024,parsed_no_machine_fields,2026-06-04T15:11:26.423051+00:00
2024-10-11,,,11,,,,,,,https://www.lottery.co.uk/euromillions/results-11-10-2024,parsed_no_machine_fields,2026-06-04T15:11:26.908792+00:00
2024-10-15,,,15,,,,,,,https://www.lottery.co.uk/euromillions/results-15-10-2024,parsed_no_machine_fields,2026-06-04T15:11:27.425496+00:00
2024-10-18,,,18,,,,,,,https://www.lottery.co.uk/euromillions/results-18-10-2024,parsed_no_machine_fields,2026-06-04T15:11:27.909817+00:00
2024-10-22,,,22,,,,,,,https://www.lottery.co.uk/euromillions/results-22-10-2024,parsed_no_machine_fields,2026-06-04T15:11:28.467789+00:00
2024-10-25,,,25,,,,,,,https://www.lottery.co.uk/euromillions/results-25-10-2024,parsed_no_machine_fields,2026-06-04T15:11:29.041048+00:00
2024-10-29,,,29,,,,,,,https://www.lottery.co.uk/euromillions/results-29-10-2024,parsed_no_machine_fields,2026-06-04T15:11:29.598785+00:00
2024-11-01,,,1,,,,,,,https://www.lottery.co.uk/euromillions/results-01-11-2024,parsed_no_machine_fields,2026-06-04T15:11:30.140914+00:00
2024-11-05,,,5,,,,,,,https://www.lottery.co.uk/euromillions/results-05-11-2024,parsed_no_machine_fields,2026-06-04T15:11:30.763195+00:00
2024-11-08,,,8,,,,,,,https://www.lottery.co.uk/euromillions/results-08-11-2024,parsed_no_machine_fields,2026-06-04T15:11:31.383513+00:00
2024-11-12,,,12,,,,,,,https://www.lottery.co.uk/euromillions/results-12-11-2024,parsed_no_machine_fields,2026-06-04T15:11:31.922264+00:00
2024-11-15,,,15,,,,,,,https://www.lottery.co.uk/euromillions/results-15-11-2024,parsed_no_machine_fields,2026-06-04T15:11:32.415980+00:00
2024-11-19,,,19,,,,,,,https://www.lottery.co.uk/euromillions/results-19-11-2024,parsed_no_machine_fields,2026-06-04T15:11:32.908268+00:00
2024-11-22,,,22,,,,,,,https://www.lottery.co.uk/euromillions/results-22-11-2024,parsed_no_machine_fields,2026-06-04T15:11:33.428875+00:00
